Match Number,"Date","Time (IST)","Venue","Team 1","Team 2","Match Type"
1,"Sat, 22 Mar '25","7:30 PM","Eden Gardens","Kolkata Knight Riders","Royal Challengers Bengaluru","League"
2,"Sun, 23 Mar '25","3:30 PM","Hyderabad","Sunrisers Hyderabad","Rajasthan Royals","League"
3,"Sun, 23 Mar '25","7:30 PM","Chennai","Chennai Super Kings","Mumbai Indians","League"
4,"Mon, 24 Mar '25","7:30 PM","Visakhapatnam","Delhi Capitals","Lucknow Super Giants","League"
5,"Tue, 25 Mar '25","7:30 PM","Ahmedabad","Gujarat Titans","Punjab Kings","League"
6,"Wed, 26 Mar '25","7:30 PM","Guwahati","Rajasthan Royals","Kolkata Knight Riders","League"
7,"Thu, 27 Mar '25","7:30 PM","Hyderabad","Sunrisers Hyderabad","Lucknow Super Giants","League"
8,"Fri, 28 Mar '25","7:30 PM","Chennai","Chennai Super Kings","Royal Challengers Bengaluru","League"
9,"Sat, 29 Mar '25","7:30 PM","Ahmedabad","Gujarat Titans","Mumbai Indians","League"
10,"Sun, 30 Mar '25","3:30 PM","Visakhapatnam","Delhi Capitals","Sunrisers Hyderabad","League"
11,"Sun, 30 Mar '25","7:30 PM","Guwahati","Rajasthan Royals","Chennai Super Kings","League"
12,"Mon, 31 Mar '25","7:30 PM","Wankhede","Mumbai Indians","Kolkata Knight Riders","League"
13,"Tue, 01 Apr '25","7:30 PM","Lucknow","Lucknow Super Giants","Punjab Kings","League"
14,"Wed, 02 Apr '25","7:30 PM","Bengaluru","Royal Challengers Bengaluru","Gujarat Titans","League"
15,"Thu, 03 Apr '25","7:30 PM","Eden Gardens","Kolkata Knight Riders","Sunrisers Hyderabad","League"
16,"Fri, 04 Apr '25","7:30 PM","Lucknow","Lucknow Super Giants","Mumbai Indians","League"
17,"Sat, 05 Apr '25","3:30 PM","Chennai","Chennai Super Kings","Delhi Capitals","League"
18,"Sat, 05 Apr '25","7:30 PM","Mullanpur","Punjab Kings","Rajasthan Royals","League"
19,"Sun, 06 Apr '25","3:30 PM","Eden Gardens","Kolkata Knight Riders","Lucknow Super Giants","League"
20,"Sun, 06 Apr '25","7:30 PM","Hyderabad","Sunrisers Hyderabad","Gujarat Titans","League"
21,"Mon, 07 Apr '25","7:30 PM","Wankhede","Mumbai Indians","Royal Challengers Bengaluru","League"
22,"Tue, 08 Apr '25","7:30 PM","Mullanpur","Punjab Kings","Chennai Super Kings","League"
23,"Wed, 09 Apr '25","7:30 PM","Ahmedabad","Gujarat Titans","Rajasthan Royals","League"
24,"Thu, 10 Apr '25","7:30 PM","Bengaluru","Royal Challengers Bengaluru","Delhi Capitals","League"
25,"Fri, 11 Apr '25","7:30 PM","Chennai","Chennai Super Kings","Kolkata Knight Riders","League"
26,"Sat, 12 Apr '25","3:30 PM","Lucknow","Lucknow Super Giants","Gujarat Titans","League"
27,"Sat, 12 Apr '25","7:30 PM","Hyderabad","Sunrisers Hyderabad","Punjab Kings","League"
28,"Sun, 13 Apr '25","3:30 PM","Jaipur","Rajasthan Royals","Royal Challengers Bengaluru","League"
29,"Sun, 13 Apr '25","7:30 PM","Delhi","Delhi Capitals","Mumbai Indians","League"
30,"Mon, 14 Apr '25","7:30 PM","Lucknow","Lucknow Super Giants","Chennai Super Kings","League"
31,"Tue, 15 Apr '25","7:30 PM","Mullanpur","Punjab Kings","Kolkata Knight Riders","League"
32,"Wed, 16 Apr '25","7:30 PM","Delhi","Delhi Capitals","Rajasthan Royals","League"
33,"Thu, 17 Apr '25","7:30 PM","Wankhede","Mumbai Indians","Sunrisers Hyderabad","League"
34,"Fri, 18 Apr '25","7:30 PM","Bengaluru","Royal Challengers Bengaluru","Punjab Kings","League"
35,"Sat, 19 Apr '25","3:30 PM","Ahmedabad","Gujarat Titans","Delhi Capitals","League"
36,"Sat, 19 Apr '25","7:30 PM","Jaipur","Rajasthan Royals","Lucknow Super Giants","League"
37,"Sun, 20 Apr '25","3:30 PM","Mullanpur","Punjab Kings","Royal Challengers Bengaluru","League"
38,"Sun, 20 Apr '25","7:30 PM","Wankhede","Mumbai Indians","Chennai Super Kings","League"
39,"Mon, 21 Apr '25","7:30 PM","Eden Gardens","Kolkata Knight Riders","Gujarat Titans","League"
40,"Tue, 22 Apr '25","7:30 PM","Lucknow","Lucknow Super Giants","Delhi Capitals","League"
41,"Wed, 23 Apr '25","7:30 PM","Hyderabad","Sunrisers Hyderabad","Mumbai Indians","League"
42,"Thu, 24 Apr '25","7:30 PM","Bengaluru","Royal Challengers Bengaluru","Rajasthan Royals","League"
43,"Fri, 25 Apr '25","7:30 PM","Chennai","Chennai Super Kings","Sunrisers Hyderabad","League"
44,"Sat, 26 Apr '25","7:30 PM","Eden Gardens","Kolkata Knight Riders","Punjab Kings","League"
45,"Sun, 27 Apr '25","3:30 PM","Wankhede","Mumbai Indians","Lucknow Super Giants","League"
46,"Sun, 27 Apr '25","7:30 PM","Delhi","Delhi Capitals","Royal Challengers Bengaluru","League"
47,"Mon, 28 Apr '25","7:30 PM","Jaipur","Rajasthan Royals","Gujarat Titans","League"
48,"Tue, 29 Apr '25","7:30 PM","Delhi","Delhi Capitals","Kolkata Knight Riders","League"
49,"Wed, 30 Apr '25","7:30 PM","Chennai","Chennai Super Kings","Punjab Kings","League"
50,"Thu, 01 May '25","7:30 PM","Jaipur","Rajasthan Royals","Mumbai Indians","League"
51,"Fri, 02 May '25","7:30 PM","Ahmedabad","Gujarat Titans","Sunrisers Hyderabad","League"
52,"Sat, 03 May '25","7:30 PM","Bengaluru","Royal Challengers Bengaluru","Chennai Super Kings","League"
53,"Sun, 04 May '25","3:30 PM","Eden Gardens","Kolkata Knight Riders","Rajasthan Royals","League"
54,"Sun, 04 May '25","7:30 PM","Dharamsala","Punjab Kings","Lucknow Super Giants","League"
55,"Mon, 05 May '25","7:30 PM","Hyderabad","Sunrisers Hyderabad","Delhi Capitals","League"
56,"Tue, 06 May '25","7:30 PM","Wankhede","Mumbai Indians","Gujarat Titans","League"
57,"Wed, 07 May '25","7:30 PM","Eden Gardens","Kolkata Knight Riders","Chennai Super Kings","League"
58,"Thu, 08 May '25","7:30 PM","Dharamsala","Punjab Kings","Delhi Capitals","League"
59,"Fri, 09 May '25","7:30 PM","Lucknow","Lucknow Super Giants","Royal Challengers Bengaluru","League"
60,"Sat, 10 May '25","7:30 PM","Hyderabad","Sunrisers Hyderabad","Kolkata Knight Riders","League"
61,"Sun, 11 May '25","3:30 PM","Dharamsala","Punjab Kings","Mumbai Indians","League"
62,"Sun, 11 May '25","7:30 PM","Delhi","Delhi Capitals","Gujarat Titans","League"
63,"Mon, 12 May '25","7:30 PM","Chennai","Chennai Super Kings","Rajasthan Royals","League"
64,"Tue, 13 May '25","7:30 PM","Bengaluru","Royal Challengers Bengaluru","Sunrisers Hyderabad","League"
65,"Wed, 14 May '25","7:30 PM","Ahmedabad","Gujarat Titans","Lucknow Super Giants","League"
66,"Thu, 15 May '25","7:30 PM","Wankhede","Mumbai Indians","Delhi Capitals","League"
67,"Fri, 16 May '25","7:30 PM","Jaipur","Rajasthan Royals","Punjab Kings","League"
68,"Sat, 17 May '25","7:30 PM","Bengaluru","Royal Challengers Bengaluru","Kolkata Knight Riders","League"
69,"Sun, 18 May '25","3:30 PM","Ahmedabad","Gujarat Titans","Chennai Super Kings","League"
70,"Sun, 18 May '25","7:30 PM","Lucknow","Lucknow Super Giants","Sunrisers Hyderabad","League"
71,"Tue, 20 May '25","7:30 PM","Hyderabad","TBA","TBA","Qualifier 1"
72,"Wed, 21 May '25","7:30 PM","Hyderabad","TBA","TBA","Eliminator"
73,"Fri, 23 May '25","7:30 PM","Eden Gardens","TBA","TBA","Qualifier 2"
74,"Sun, 25 May '25","7:30 PM","Eden Gardens","TBA","TBA","Final"
